JobID|Elapsed|Eligible|End|ReqMem|ReqCPUS|CPUTime|Submit|Start|MaxVMSize|State|User|NodeList|Partition|
5766446|48-02:44:54|2023-05-18T19:11:33|2023-07-06T09:41:52|1000Mc|16|769-19:58:24|2023-05-18T19:11:33|2023-05-19T06:56:58||COMPLETED|subhajit.paul|cn22|serial-long|
5766448|54-09:36:34|2023-05-18T19:23:02|Unknown|1000Mc|16|870-09:45:04|2023-05-18T19:23:02|2023-05-19T07:00:58||RUNNING|subhajit.paul|cn25|serial-long|
5766449|51-00:03:43|2023-05-18T19:27:48|2023-07-09T07:05:41|1000Mc|16|816-00:59:28|2023-05-18T19:27:48|2023-05-19T07:01:58||COMPLETED|subhajit.paul|cn24|serial-long|
5766450|54-09:10:33|2023-05-18T19:29:35|Unknown|1000Mc|16|870-02:48:48|2023-05-18T19:29:35|2023-05-19T07:26:59||RUNNING|subhajit.paul|cn22|serial-long|
5766451|42-23:27:03|2023-05-18T19:32:24|2023-07-01T06:58:02|1000Mc|16|687-15:12:48|2023-05-18T19:32:24|2023-05-19T07:30:59||COMPLETED|subhajit.paul|cn26|serial-long|
5766454|54-09:01:33|2023-05-18T19:43:17|Unknown|1000Mc|16|870-00:24:48|2023-05-18T19:43:17|2023-05-19T07:35:59||RUNNING|subhajit.paul|cn24|serial-long|
5766455|54-09:00:03|2023-05-18T19:44:10|Unknown|1000Mc|16|870-00:00:48|2023-05-18T19:44:10|2023-05-19T07:37:29||RUNNING|subhajit.paul|cn25|serial-long|
5766456|54-08:41:03|2023-05-18T19:48:56|Unknown|1000Mc|16|869-18:56:48|2023-05-18T19:48:56|2023-05-19T07:56:29||RUNNING|subhajit.paul|cn24|serial-long|
5766979_50|11-12:24:30|2023-05-21T22:31:44|2023-06-02T10:56:14|1000Mc|1|11-12:24:30|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn25|serial-long|
5766979_1|11-01:38:08|2023-05-21T22:31:44|2023-06-02T00:09:52|1000Mc|1|11-01:38:08|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn28|serial-long|
5766979_2|10-17:16:55|2023-05-21T22:31:44|2023-06-01T15:48:39|1000Mc|1|10-17:16:55|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn28|serial-long|
5766979_3|11-22:09:17|2023-05-21T22:31:44|2023-06-02T20:41:01|1000Mc|1|11-22:09:17|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn28|serial-long|
5766979_4|11-08:09:00|2023-05-21T22:31:44|2023-06-02T06:40:44|1000Mc|1|11-08:09:00|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn28|serial-long|
5766979_5|11-00:56:51|2023-05-21T22:31:44|2023-06-01T23:28:35|1000Mc|1|11-00:56:51|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn28|serial-long|
5766979_6|11-22:02:48|2023-05-21T22:31:44|2023-06-02T20:34:32|1000Mc|1|11-22:02:48|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn28|serial-long|
5766979_7|11-09:41:23|2023-05-21T22:31:44|2023-06-02T08:13:07|1000Mc|1|11-09:41:23|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn28|serial-long|
5766979_8|11-04:44:28|2023-05-21T22:31:44|2023-06-02T03:16:12|1000Mc|1|11-04:44:28|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn28|serial-long|
5766979_9|10-08:02:17|2023-05-21T22:31:44|2023-06-01T06:34:01|1000Mc|1|10-08:02:17|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn28|serial-long|
5766979_10|11-01:47:34|2023-05-21T22:31:44|2023-06-02T00:19:18|1000Mc|1|11-01:47:34|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn28|serial-long|
5766979_11|10-14:39:40|2023-05-21T22:31:44|2023-06-01T13:11:24|1000Mc|1|10-14:39:40|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn28|serial-long|
5766979_12|11-09:11:15|2023-05-21T22:31:44|2023-06-02T07:42:59|1000Mc|1|11-09:11:15|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn28|serial-long|
5766979_13|11-12:40:02|2023-05-21T22:31:44|2023-06-02T11:11:46|1000Mc|1|11-12:40:02|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn28|serial-long|
5766979_14|11-02:23:45|2023-05-21T22:31:44|2023-06-02T00:55:29|1000Mc|1|11-02:23:45|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn28|serial-long|
5766979_15|11-10:52:57|2023-05-21T22:31:44|2023-06-02T09:24:41|1000Mc|1|11-10:52:57|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn28|serial-long|
5766979_16|12-03:41:13|2023-05-21T22:31:44|2023-06-03T02:12:57|1000Mc|1|12-03:41:13|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn28|serial-long|
5766979_17|10-23:53:24|2023-05-21T22:31:44|2023-06-01T22:25:08|1000Mc|1|10-23:53:24|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn28|serial-long|
5766979_18|11-07:24:15|2023-05-21T22:31:44|2023-06-02T05:55:59|1000Mc|1|11-07:24:15|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn28|serial-long|
5766979_19|11-13:16:40|2023-05-21T22:31:44|2023-06-02T11:48:24|1000Mc|1|11-13:16:40|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn28|serial-long|
5766979_20|11-13:53:21|2023-05-21T22:31:44|2023-06-02T12:25:05|1000Mc|1|11-13:53:21|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn28|serial-long|
5766979_21|11-20:10:35|2023-05-21T22:31:44|2023-06-02T18:42:19|1000Mc|1|11-20:10:35|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn28|serial-long|
